x_title,cat,label
digger operator needed - nelson,drivers couriers,1
industrial sewer and fabrication machinist,doctors specialists,0
grad technical and application specialist,it,1
plumber - wellington,trades services,1
kitchen staff,planning,0
digital marketing specialist,maintenance,0
painter / wallpaper hanger,painting,1
creative freelancers/ contractors,estimation,0
van drivers,couriers,1
sales manager,it,0
construct safe tc stms,audit,0
scaffolder / scaffolder labourer truck driver,labourers,1
senior researcher senior economist,sales reps,0
registered nurses mental health - forensic,mental health,1
personal assistant/ team coordinator,architecture,0
care giver,banking finance insurance,0
machine spotter night shift,payroll,0
legal advisor,direct marketing,0
butcher labourer - paknsave rangiora,butchers bakers,1
manufacturing assistant,process assembly,1
baker/pastry chef experienced norfolk island,drafting,0
customer service and phone sales,traffic management,0
technical advisor explosive ordnance,administration,0
accounts payable administrator,office administration,1
roofers wanted,merchandising,0
mechanical fitter/maintainance engineer,truck ht,0
tradesperson alloy welder fabricator,defence,0
accounts payable/receivable,recruitment,0
psychologist - child development service,psychology counselling,1
policy analyst - initial mental health and,it,1
principal systems architect - integration,it,1
researcher,marketing media communications,1
industrial general engineer,storepersons warehousing,0
service station - store manager,pharmacy,0
south auckland warehouse work - immediate start,truck ht,0
demolition labourers - central auckland,labouring,1
rv technician,technicians,1
cleaner willard,housekeeping,1
it network systems analyst level 2,networking storage,1
web graphic designer,it,1
registered nurse - fixed term - cardiothoracic,theatre recovery,1
bop metal membrane roofing wage contract crews,nursing midwifery,0
talent sourcing lead - talent delivery network,recruitment,1
injection molding technician,manufacturing operations,1
gardeners grounds - maintenance opportunities,trades services,1
community testing and vaccination centre staff,nursing midwifery,1
sales consultant,supervisors forepersons,0
pick packers required onehunga location,geotechnical,0
registered nurse tapuhi rehita gynaecology,estimation,0
business services manager,labouring,0
experienced auto electrician,electrical,1
business insights manager,early childhood,0
korean or chinese hotel reception / reservation,automotive technician,0
sales assistant manager,web design,0
lbp carpenters for wellington,building carpentry,1
specialist coatings manager,supervisors forepersons,1
sales support / counter sales,sales support,1
pre sales/solutions architect,sales pre-sales,1
administrator - mental health addiction service,administration,1
hammerhands - wellington,trades services,1
administrator/cashie,office administration,1
analyst threat and incident response wellington,it,1
carpenters - based across auckland,building carpentry,1
engineer surveyor,engineering,1
engineering workshop assistant/junior tradesperson,telesales,0
senior laboratory technician / pukenga taiwhanga,store managers,0
experienced foh part time full time,hospitality tourism,1
qs/estimator,dentistry,0
reporting and finance officer,occupational therapy,0
storeperson/class 2 driver,payroll,0
carpenter - commercial,credit lending,0
experienced civil labourer / class 2 driver,couriers,0
receptionist/cleaner,reception front desk,1
customer support - field service administrator,office administration,1
gis / remote sensing analysts,forestry,1
class 4 drivers,customer-facing,0
skipper - milford sound,office management,0
full time bar person,hospitality tourism,1
customer service representative - rangiora,sales operations parts,1
senior medical officer critical care complex cm,retail assistants,0
menulog delivery driver - no experience required,hospitality tourism,1
internal audit manager,audit,1
cleaning crew members,automotive,0
office superstar,machine operators,0
carpet shampooer/ cleaning supervisor,paediatrics,0
progressive farm assistant,facilities commercial property management,0
health care assistant,architecture,0
sheet metal fabricator,trades services,1
sealing driver operator,critical care emergency,0
office manager,chefs,0
boating and fishing retail store assistant manager,boilermakers welders,0
manager - spa - deals advisory,hr,1
practice supervisor,psychology counselling,1
concrete cutter,construction roading,1
purchasing/inventory co-ordinator,healthcare,1
elevator technicians - auckland,trades services,1
recruitment lead,fitness wellbeing,0
construction administrator,hairdressing,0
cashier - electrical - rangitikei street,security,0
hide and skin processing - machine operator,boat building,0
warehouse sole-charge supervisor,environmental,0
registered nurse nights - fixed term,supply chain planning,0
cook onboard fishing vessel - fv janas,sign writers,0
line haul driver,retail assistants,0
carpentry workers,trades services,1
quality co-ordinator,community social services,1
maths teacher,secondary,1
programme assistant for childcare,primary,1
precasters concrete finishers,boat building,0
kpmg - private enterprise graduate - hamilton,defence,0
furniture offsider labour,freight forwarders,1
forestry entry level q/c position,agriculture fishing forestry,1
office manager for ngo,office management,1
it support analyst,service desk,1
farm hand and meat works,farming,1
drain layer,tutoring training,0
qualified arborist,accounts receivable,0
debt officer,customer service,1
factory manager - auckland,finance managers controllers,1
vehicle inspector nelson,data warehousing bi,0
technician - upholstery protection,cleaning,1
senior civil engineer - hamilton,engineering,1
building officer,construction roading,1
asbestos removal worker,energy,0
junior service technician,environmental,0
relief rural postie,couriers,1
senior house officer - emergency department,merchandising,0
accounts administrator,accounting,1
physics and/or math teacher,education,1
registered nurse - icu/ccu/hdu,diesel mechanic,0
concreters - auckland region,building carpentry,1
car groomer,roofing,0
porter,business advisory services,0
class 5 driver - structural steel,truck ht,1
checkout operators - experienced,retail,1
resourcing specialist,telecommunications,0
reach driver - full time hours,supervisors forepersons,0
part time casual security officers - rotorua,trades services,1
safety net installer/scaffolder,veterinary,0
service deli assistant,kitchen staff,1
call centre representative - fmcg,customer service,1
data entry administrator,administration,1
optometrist / te matai karu,direct marketing,0
permanency social worker snr practitioner,butchers bakers,0
night manager,labouring,0
project manager - livestock meat,water waste,0
sheep beef cattle farm manager/machine operator,journalism,0
intermediate architectural technician,finance managers controllers,0
head teacher - infants - glenfield,education,1
technical sales rep,sales reps,1
receival and delivery clerk/controller,property,0
wait staff/duty manager,waiting staff,1
operator maintainer,science technology,1
cardiothoracic fellow,supply chain planning,0
senior architect/designer,architects,1
dental receptionist / assistants,hr,0
sous chef,hospitality tourism,1
surgical fellow - liver transplant service -,drivers couriers,0
event duty manager,credit lending,0
chef de partie required no 7 balmac,chefs,1
evening cleaning positions - nelson - central city,trades services,1
thai cuisine chefs required,chefs,1
equipment technician / diesel mechanic - hamilton,advertising,0
transition manager,project management,1
contract administration roles - timaru,administration,1
data entry,administration,1
inwards / experienced reach operator,warehouse distribution,1
trade sales support - new lynn,nursing midwifery,0
sales and service manager- papakura,general / ca,0
massage and beauty therapist,beautician,1
dispatch service coordinator - full time,maintenance,0
looking for experienced duct refrigerator service,air con refrigeration,1
service coordinator and 1st line helpdesk,it,1
health care assistant child and family west,community social services,1
area coach,it,0
support worker - tauranga,healthcare,1
receptionist at wadestown vet clinic cattery,office administration,1
warehouse loaders 10x vacansies,transport logistics,1
underground mining engineer production,marketing assistants coordinators,0
registered nurses full time ward 17 cm health,construction roading,0
team leader,trades services,0
front house barista the coffee club - the hub,bar staff baristas,1
civil carpenter formworker,assistant accountants,0
office administrator- maternity leave cover,air con refrigeration,0
kitchen bathroom specialist - blenheim,sales support,1
maintenance electricians,database,0
class 5 driver -bulk curtain,drivers couriers,1
driver/store person,manufacturing operations,1
operations support south island,office administration,1
service station attendant,kitchen staff,0
social worker- cancer support and engage team,healthcare,1
power technician,automotive technician,1
project coordinator/foreman,paediatrics,0
physiotherapy assistant 10fte,healthcare,1
marketing specialist,client services,0
commercial lawn mower,horticulture,1
intermediate to senior accountant,programming development,0
driller driver,air con refrigeration,0
transfer station operator,nursing midwifery,0
skip loader - gantry/bin truck drivers,diesel mechanic,0
product development engineer - infant care,couriers,0
heavy machine operator - southland,tourism tour guides,0
warehouse storeperson part-time,retail assistants,0
rockgas driver,beautician,0
branch manager,office management,0
enrolled nurse,payroll,0
client administrator including aml duties,electrical,0
assistant manager,horticulture,1
caregivers jobs available today in hamilton and wa,local regional council,0
labourer/welder - start today in rakaia,trades services,1
health and safety advisor,construction roading,1
driver filler,truck ht,1
geospatial developer - auckland,travel consultants,0
stms level 1 and 2/3 practicing,traffic management,1
non qualified early childhood teacher,building services,0
retail assistant,agriculture fishing forestry,1
sales assistant manager,retail,1
licensed plumber required asap,plumbing,1
nz qualified electrician,market research analysis,0
class 4 concrete truck driver,financial planning investment,0
experienced builder/tradesmen,trades services,1
property administrator,painting,0
elevator technicians - auckland,residential sales management,0
qualified plumbers wanted g string not compulsory,functional consultants,0
fibre build technician,technicians,1
fibre build technician,trades services,1
excavator operator - auckland,machine operators,1
wheels tracks rollers / labourer - new plymouth,construction roading,1
parts/stock controller,civil structural,0
support workers - whanganui,community social services,1
class 5 drivers,customer-facing,0
recruitment advisor - fixed-term contract,hr recruitment,1
customer service representative/ technician,property,0
nursery manager - native trees - awhitu landcare,boat building,0
property legal secretary,networking storage,0
legal executive - property 4 years pqe,tax,0
site supervisor/field manager,site management,1
registered nurse - windsor park care home gore,business development manager,0
bridge design engineer,banking finance insurance,1
receptionist - seadragon marine oils limited,environmental,0
scientific officer,office administration,1
maintenance engineer-mechanical,engineering,1
labourers / devanners,trades services,1
picker packers,sales reps,0
project manager- electrical distribution,reception,0
serviceperson,banking finance insurance,0
breakfast chef - the sands,brand product management,0
building supplies team member mega hornby,operations,0
head chef/ sous chef/ chef de partie,hospitality tourism,1
skip bin gantry truck driver,transport logistics,1
manufacturing assistant,manufacturing operations,1
marketing specialist,direct marketing,1
part time retail assistant - browns bay,diesel mechanic,0
sales automotive parts experience,networking storage,0
communications manager,sales operations parts,0
solutions and field service engineer,handy-persons,0
carpenters needed,trades services,1
sales photography team members auckland,glaziers,0
20/283 digitisation advisor,traffic management,0
programme planner/scheduler,hospitality tourism,0
glass processor,process assembly,1
forklift/loader operator,buying,0
maintenance fitter - day shift,engineering,1
become an in-home educator with porse,early childhood,1
lbp carpenters,construction roading,0
senior policy advisor,medical,0
power technician,customer service,0
multiple jobs available,fitters machining,0
automotive technician / mechanic,gardening landscaping,0
manufacturing supervisor - kawerau,manufacturing operations,1
academic leader piti,theatre recovery,0
medical imaging technologists - radiology,tutoring training,0
head teacher - toddlers - browns bay,science technology,0
senior quantity surveyor pqs,forestry,0
western mobile patrol guards required asap,air con refrigeration,0
policy and standards specialist,government council,1
car painter wanted,call centre,0
site manager,radiography sonography,0
front of house,property,0
graduate accountant,accounts payable,0
arborist - hamilton and waikato region,agriculture fishing forestry,1
labourers - onehunga mangere,trades services,1
north shore,training,0
reach operator,technicians,0
temp administrator,ea pa secretarial,0
graduate / junior developer,it,1
experienced class 5 89k-105k a year,truck ht,1
interior exterior plasterer/fixer,construction roading,1
marketing communications specialist,brand product management,1
branch manager,retail,1
quality assessor,traffic management,0
team leader / charge nurse manager - adult mental,recruitment,0
digger operators - skilled labourers,construction roading,1
contractor teams wanted,traffic management,0
principal analyst,sales reps,0
registered nurses - emergency department,security,0
validation technologist,commercial sales leasing,0
team leader - administration wellington,banking finance insurance,1
block layer,insurance,0
factory workers,dentistry,0
specialist operator,traffic management,1
senior receptionist/visitor host,farming,0
cemetery operations assistant,environmental,0
community mental health nurse - intensive,supervisors forepersons,0
wof automotive technician,automotive technician,1
experienced occupational therapist fixed term,occupational therapy,1
welder fabricator / supervisor,boilermakers welders,1
job developer,healthcare,1
activity and lifestyle coordinator - part time,science technology,0
z service stations bay of plenty,retail assistants,1
casual security officers - blenheim,security,1
chief financial officer commercial,accounting,1
exterior plasterer,trades services,1
associate director of nursing mental health,mental health,1
casual storeperson,warehouse distribution,1
cintesi furniture warehouse team member,storepersons warehousing,1
dun plumber,healthcare,0
manufacturing operator,machine operation,1
labourers needed now,labourers,1
manager data quality profiling measurement,service desk,0
permanent part time,journalism,0
theatre nurse - part time,service desk,0
casual food packer 218holpay,design,0
supply assistant on call,warehouse distribution,1
seasonal staff,local regional council,0
accountant - retail,automotive technician,0
packaging labourer - jan 2021 start,trades services,1
cardiothoracic surgeon - auckland dhb,healthcare,1
part-time sales specialist - hawera,retail,1
building technical officer - processing,drivers couriers,0
waiter/waitress,waiting staff,1
storesperson - imports,storepersons warehousing,1
technical lead,retail,0
wtr operators required for asap start,construction roading,1
sales rep floral toy industry,drafting,0
lead test engineer - 12 months fixed-term,fishing,0
trade sales operations manager,freight forwarders,0
door-to-door sales fundraising representative,database,0
sales representative - dairy / agri,secretarial,0
on-call project cleaner,cleaning,1
cinema manager,hospitality tourism,1
interventional cardiologist 10 fte,doctors specialists,1
we are growing join our new event security team,planning,0
advanced labourer / leafer,secretarial,0
retail assistant - linton army camp,waiting staff,1
security operations manager greymouth,trades services,1
storesperson - tauranga,warehouse distribution,1
internal audit manager,healthcare,0
ba manager,secretarial,0
service/ tyre technician - dunedin,chefs,0
forestry worker,agriculture fishing forestry,1
building supervisor/assistant project manager,civil structural,0
warehouse workers and general labourers needed,executive general management,0
labourers christchurch,transport logistics,0
part-time housekeeper/ laundry assistant,cleaning,1
registered health clinician - methamphetamine,mental health,1
seeking mental health support workers,healthcare,1
caregiver - bupa the gardens,caregiving,1
machine operators drum hands,process assembly,1
sales assistant sunglass style tawa outlet,retail,1
restaurant delivery driver,surgical,0
team leads/tech leads net react or node,programming development,1
roofers required - longrun,trades services,1
architectural graduate,sales operations parts,0
senior advisor regulatory response,design,0
principal business partner hr,hr,1
caregiver jobs to start asap - new plymouth,management accountants,0
area sales manager,horticulture,0
tractor driver,agriculture fishing forestry,1
industrial electricians,accounting,0
hammerhands required for christchurch,trades services,1
class 5,transport logistics,1
precast workers,labourers,1
social worker- cancer support and engage team,science technology,0
apprentice painter- immediate start,environmental,0
barista/store assistant - wellington hospital pt,hospitality tourism,1
mental health professional - child adolescent,mental health,1
showroom consultant project specialist,office administration,0
calibration service technician,technicians,1
light fabrication apprenticeship - hastings,hr recruitment,0
qualified registered early childhood teachers,education,1
net developer,programming development,1
mac operator - pre-press,sign writers,0
veterinary technician,geotechnical,0
carpet vinyl and laminate installers,civil structural,0
full time chef de partie wanted,housekeeping,0
stone mason,machine operation,1
japanese chef required immediately,caregiving,0
digger operator wanted - immediate start,plumbing,0
stms l2/3 practicing,storepersons warehousing,0
regulatory support monitoring and enforcement,legal,0
software project coordinator,project management,1
truck driver 6 wheeler tipper,occupational therapy,0
senior devops engineer,critical care emergency,0
full-time commercial cleaner,administration,0
senior business analyst - digital,office management,0
timber labourers - ruakaka,labourers,1
senior consultant,direct marketing,0
catering assistant - cht hillcrest,kitchen staff,1
checkout operators - part time,flooring,0
sous chef/whistling sisters beer co,truck ht,0
log truck driver,drivers couriers,1
scaffold tradespeople,labourers,1
centre cook beststart te awamutu,hospitality tourism,1
senior advisor community engagement 2023 census,traffic management,0
customer service consultant,customer service,1
senior full stack developer,programming development,1
community support worker - central south sector,assistant accountants,0
hr and hs manager - tasman tanning,farming,0
strategic communications specialist - change,science technology,0
support worker- balclutha,healthcare,1
chefs and cooks,sales managers,0
workshop foreman,fishing,0
experienced carpenter / lead carpenter,building carpentry,1
learning and development manager,fitness wellbeing,0
chef - compass group nz,hospitality tourism,1
product manager/senior product manager,tax,0
head teacher - babies centre,medical,0
tyre technicians wanted,security,0
principal civil engineer,critical care emergency,0
apprentice parts interpreter,freight forwarders,0
energetic sales lead generator,telesales,1
sheep beef junior / entry level position,farming,1
parts service advisor - volvo renault bop,sales operations parts,1
kickass wordpress web developer,farming,0
technical advisor threats,science technology,1
health care assistant ward 27,air con refrigeration,0
visual design lead,architects,1
maintenance hammerhand /carpenter,marketing media communications,0
full time boating fishing retail sales hamilton,retail assistants,1
domestic packhouse manager - wilcox,manufacturing operations,1
carpenters required,storepersons warehousing,0
administration assistant - steel warehouse,consultancy valuation,0
baker chef,hospitality tourism,1
community advocacy officer - fixed term 2 years,government council,1
rural sector productsphone rep home based,drafting,0
administrator extraordinaire - part-time role,office administration,1
accounts payable,medical,0
cad technician,kitchen staff,0
drainlaying tradesman,labourers,1
hotel housekeeper - full time and part time roles,hospitality tourism,1
dairy farm assistants managers wanted nationwide,retail,0
early childhood centre relievers - new plymouth,executive general management,0
communications manager 12 months ftc,marketing media communications,1
medical imaging technologists - radiology,radiography sonography,1
installation technician,assistant store managers,0
head barista - the huxley,bar staff baristas,1
senior financial accountant,accounting,1
medical imaging technologist 10 fte,financial accounting reporting,0
cabinet maker/joiner/ cnc machine operator,theatre recovery,0
finance administrator,administration,1
carpenter - manawatu - wanganui,retail,0
retail store manager - looking to step up,forestry,0
forestry silviculturalist - pruner/planter,cleaning,0
finance office administrator - eventhorpe,banking finance insurance,0
intermediate civil engineer,storepersons warehousing,0
customer service cleaner,call centre,0
customer service representative - cambridge,automotive,1
automotive electrician or technician,glaziers,0
support workers marlborough,healthcare,1
skilled labourer - ongoing,painting,0
multiple policy opportunities,functional consultants,0
experienced structural steel spray painter,painting,1
vaccinator covid19 - expressions of interest,supervisors forepersons,0
retail manager,accounting,1
senior test analyst - fixed term,recruitment,0
team leader physiotherapy,healthcare,1
engineering workshop assistant/junior tradesperson,mechanical,1
sap data lead - sen con/manager,quantity surveying,0
teacher/tutor - science,flooring,0
production leader - food processing,management,1
house officer general surgery and relief,kitchen staff,0
retail assistant,farming,1
queenstowns 1 hospitality group is hiring,tutoring training,0
menulog delivery driver - christchurch south west,mental health,0
plasterboard fixers needed now,process assembly,0
developer,it,1
concierge manager - auckland central,buying,0
junior business analyst,payroll,0
technical lead - infrastructure/euc,systems engineers,1
tax graduate innovation growth - auckland,assistant accountants,1
freight handler - fixed term - nights - warkworth,transport logistics,1
construction manager,environmental,0
principal test automation engineer,pharmacy,0
assets and taxation accountant,project contracts management,0
kitchen joiner/cabinet maker,handy-persons,0
heavy machine operator - tauranga,accounts administrators,0
apprentice newly qualified builder,building carpentry,1
associate director of midwifery,it,0
loader storeperson,legal,0
labourers,sign writers,0
project manager carpenter,building carpentry,1
casual housekeeper - tauranga,fishing,0
2021 training year - house officers pgy2,industrial,0
butchery assistants,accounts receivable,0
2021 training year haematology registrars,healthcare,1
consultant psychiatrist - st lukes community,import export,0
hardware and desktop engineer,architecture,0
chef-immediate start,waiting staff,1
occupational therapist - acute inpatient,occupational therapy,1
quarry operator - waiohine quarry,construction roading,1
kelly sports franchise owner - priced to sell,primary,1
experienced foh,machine operation,0
dental assistant - far north 091 fte fixed,healthcare,1
trainee structures worker - invercargill,transport logistics,1
mr applications specialist,boilermakers welders,0
machine operators and site-staff,freight forwarders,0
intermediate development manager,property,1
caregiver beststart kelvin street,early childhood,1
intermediate/year 2/year3 stylist/hairdresser,hospitality tourism,1
sub-contractors,sales pre-sales,0
social worker - acute response team mental health,psychology counselling,1
heavy transport engineer,financial planning investment,0
assistant manager jaycar electronics,insurance,0
team leader - mental health,healthcare,1
chinese chefs and cooks wanted,psychology counselling,0
electronic security technician,accountants,0
cnc machine operator,manufacturing operations,1
chef - hawkes bay,hospitality tourism,1
plumbing,trades services,1
mojo cafe chef,chefs,1
carpenters full-time facilities engineering,waiting staff,0
hotel room attendant / housekeeper,hospitality tourism,1
kelly sports franchise owner - priced to sell,air con refrigeration,0
lab technician,science technology,1
concrete finishers/labourers,construction roading,1
project manager residential building company,construction roading,1
chef-immediate start,industrial,0
sheetmetal worker,boilermakers welders,1
bmw technician - east tamaki,automotive,1
dump truck drivers - class 2,boilermakers welders,0
looking for a change real estate careers evening,residential sales management,1
2000 start up fee contractors hawkes bay,couriers,1
community aphasia advisors caas,community social services,1
chipsealing crew,machine operators,1
experienced bakers pastry chefs wok chefs,hr,0
cleaner - north shore hospital permanent full,in-house counsel,0
dairy farm assistant manager,farming,1
registered nurse - inpatient unit casual,building services,0
civil foreman and leading hand - auckland,construction roading,1
purchasing coordinator,office administration,1
sales supervisor,store managers,1
factory worker versatile class 2 driver,hr recruitment,0
supervisor,defence,0
grill chef position - wanaka,hospitality tourism,1
registered nurse - casuals - emergency department,tutoring training,0
driver with labouring required,drivers couriers,1
specialist manager modern work,trades services,0
labourer with full class 1 license,manufacturing operations,0
hammerhand and builder,housekeeping,0
cpeng senior structural engineer - christchurch,engineering,1
roofers / builders labourer,radiography sonography,0
civil carpenters,building carpentry,1
driving instructor - gisborne,health safety,0
part time admin support staff,accountants,0
night auditor/duty manager,hospitality tourism,1
elevator technician,trades services,1
ld coordinators advisors wanted,hr,1
jr security consultant,web design,0
community support worker - cicl orewa,community social services,1
labourer storm-water division,risk compliance,0
water engineer / pump technician,trades services,1
warranty administrator,consultancy valuation,0
court registry officer,administration,1
residential builders/hammerhands,surgical,0
press machine operator,manufacturing operations,1
chinese chef wanted,hospitality tourism,1
midwife opportunities - auckland dhb,healthcare,1
labourers auckland for construction sites,in-house counsel,0
driver/operators - class 5,doctors specialists,0
excavator/grader operators,ea pa secretarial,0
emergency medicine specialist,healthcare,1
hseq advisor,industrial,1
catering assistant - ecc,hospitality tourism,1
customer service agent,call centre,1
casual security officers - nelson,ea pa secretarial,0
consultant geriatrician,database,0
water reticulation serviceman,labouring,1
wof inspector,automotive technician,1
electrician - chatham islands,reception,0
class 5 drivers - required for dairy season,hr recruitment,0
process workers wanted -multiple roles,building carpentry,0
animal management officer,trades services,1
support workers needed in hamilton today,plumbing,0
customer service representative - bp connect otaki,retail assistants,1
sous chef / junior chef positions available,hospitality tourism,1
cafe/restaurant manager,testing,0
labourers/truck drivers/digger operators,construction roading,1
aluminium installer,mechanical,0
automotive electrician,automotive,1
services specialist - noel leeming invercargill,customer service,1
social media specialist full time christchurch,plumbing,0
sales rep - papamoa,sales reps,1
specialty clinical nurse - sexual health 08fte,nursing midwifery,1
ruby on rails developer,office administration,0
medical imaging technologist - fixed term,radiography sonography,1
