x_title,cat_list,cat_list_index
abrasive blaster/ industrial painter,"['trades & services', 'painting']","[0, 26]"
abseil / rope access technician,"['trades & services', 'technicians']","[0, 6]"
academic administrator,"['office & administration', 'administration']","[30, 31]"
academic and language tutors needed in wellington!,"['education', 'tutoring & training']","[4, 5]"
academic leader pit&i,"['education', 'tertiary']","[4, 160]"
academic staff member (real estate),"['office & administration', 'administration']","[30, 31]"
academic staff member - immigration,"['education', 'tertiary']","[4, 160]"
academic staff member - nursing,"['education', 'tutoring & training']","[4, 5]"
academic staff member - social work,"['education', 'tertiary']","[4, 160]"
accelerator programme,"['sales', 'sales managers']","[57, 58]"
account broker - hawera,"['banking, finance & insurance', 'insurance']","[50, 51]"
account executive,"['marketing, media & communications', 'digital marketing']","[40, 41]"
account management officer,"['sales', 'account management']","[57, 175]"
account manager,"['marketing, media & communications', 'communications & pr', 'hr & recruitment', 'recruitment', 'advertising', 'sales', 'business development manager', 'account management']","[40, 79, 76, 88, 125, 57, 129, 175]"
account manager - alloy wheels & tyres,"['sales', 'account management']","[57, 175]"
account manager - bidfood wellington,"['sales', 'sales reps']","[57, 84]"
account manager - domestic,"['engineering', 'industrial']","[47, 83]"
account manager - heating,"['sales', 'account management']","[57, 175]"
account manager - new plymouth,"['sales', 'account management']","[57, 175]"
account manager - professional sector,"['banking, finance & insurance', 'client services']","[50, 191]"
account manager - whitianga,"['sales', 'account management']","[57, 175]"
account manager forestry - northland,"['agriculture, fishing & forestry', 'forestry']","[34, 145]"
accountancy firm opportunity,"['accounting', 'management']","[10, 39]"
accountant,"['accounting', 'accountants', 'financial accounting & reporting', 'management accountants', 'business advisory services', 'accounts administrators', 'assistant accountants', 'banking, finance & insurance', 'management', 'tax']","[10, 11, 12, 42, 87, 113, 149, 50, 39, 197]"
accountant (ca / cpa qualified),"['accounting', 'accountants', 'business advisory services']","[10, 11, 87]"
accountant - business advisory senior,"['accounting', 'accountants', 'business advisory services']","[10, 11, 87]"
accountant - intermediate - auckland cbd,"['accounting', 'accountants', 'assistant accountants']","[10, 11, 149]"
accountant - intermediate or senior,"['accounting', 'accountants', 'business advisory services']","[10, 11, 87]"
accountant - manager,"['accounting', 'accountants', 'business advisory services']","[10, 11, 87]"
accountant - ngati awa group holdings limited,"['accounting', 'accountants', 'financial accounting & reporting']","[10, 11, 12]"
accountant - retail,"['accounting', 'accountants', 'assistant accountants']","[10, 11, 149]"
accountant - te aunau,"['accounting', 'accountants', 'financial accounting & reporting']","[10, 11, 12]"
accountant / administrator,"['accounting', 'accountants', 'assistant accountants']","[10, 11, 149]"
accountants,"['accounting', 'accountants', 'tax']","[10, 11, 197]"
accountants – bas and ca,"['accounting', 'accounts payable']","[10, 172]"
accounting & financial contractors - let's talk!,"['accounting', 'accounts payable']","[10, 172]"
accounting assistant,"['accounting', 'accountants', 'assistant accountants']","[10, 11, 149]"
accounting bookeeping,"['office & administration', 'administration']","[30, 31]"
accounting clerk/bookkeeper,"['accounting', 'accountants', 'assistant accountants']","[10, 11, 149]"
accounting officer,"['accounting', 'accountants', 'business advisory services']","[10, 11, 87]"
"accounting partner, hamilton - rare opportunity","['accounting', 'accountants', 'financial accounting & reporting']","[10, 11, 12]"
accounting practice training consultant,"['accounting', 'accountants', 'business advisory services']","[10, 11, 87]"
accounts & administration assistant,"['accounting', 'accounts administrators']","[10, 113]"
accounts & administration support,"['office & administration', 'administration']","[30, 31]"
accounts & analytics assistant,"['accounting', 'accounts administrators']","[10, 113]"
accounts & office coordinator,"['accounting', 'payroll']","[10, 139]"
accounts / administration manager,"['office & administration', 'office management']","[30, 138]"
accounts admin (book keeper),"['accounting', 'accounts administrators']","[10, 113]"
accounts admin - part time,"['accounting', 'analysts']","[10, 151]"
accounts administration,"['office & administration', 'administration', 'accounting', 'accounts administrators']","[30, 31, 10, 113]"
accounts administration & liaison officer,"['hospitality & tourism', 'management']","[14, 39]"
accounts administrator,"['office & administration', 'administration', 'accounting', 'accounts administrators', 'accounts receivable']","[30, 31, 10, 113, 174]"
accounts administrator - supplier payments (x2),"['accounting', 'accounts payable']","[10, 172]"
accounts administrator ar/ap,"['accounting', 'accounts administrators']","[10, 113]"
accounts administrator – temporary,"['accounting', 'accounts administrators']","[10, 113]"
accounts administrators,"['accounting', 'accounts administrators']","[10, 113]"
accounts and administration assistant,"['accounting', 'accounts administrators']","[10, 113]"
accounts and administration manager,"['office & administration', 'administration']","[30, 31]"
accounts and data entry administrator,"['office & administration', 'administration']","[30, 31]"
accounts and logistics,"['office & administration', 'administration']","[30, 31]"
accounts assistant,"['accounting', 'accounts administrators', 'accounts payable']","[10, 113, 172]"
accounts assistant - part time (20 hours),"['accounting', 'accounts administrators']","[10, 113]"
accounts clerk,"['accounting', 'accounts administrators']","[10, 113]"
accounts importing/inventory clerk,"['accounting', 'accounts payable']","[10, 172]"
accounts manager,"['office & administration', 'office management', 'accounting', 'management']","[30, 138, 10, 39]"
accounts officer,"['accounting', 'accounts administrators', 'accounts payable']","[10, 113, 172]"
accounts payable,"['accounting', 'accounts administrators', 'accounts payable']","[10, 113, 172]"
accounts payable (part time contract) - auckland,"['accounting', 'accounts payable']","[10, 172]"
accounts payable - fixed term,"['accounting', 'accounts payable']","[10, 172]"
accounts payable - front end/data entry,"['accounting', 'accounts payable']","[10, 172]"
accounts payable / office administrator,"['accounting', 'accounts payable']","[10, 172]"
accounts payable administrator,"['office & administration', 'administration', 'accounting', 'accounts administrators', 'accounts payable']","[30, 31, 10, 113, 172]"
accounts payable clerk - fixed term,"['accounting', 'accounts administrators']","[10, 113]"
accounts payable contractor,"['accounting', 'accounts payable']","[10, 172]"
accounts payable helpdesk team member,"['accounting', 'accounts administrators']","[10, 113]"
accounts payable manager,"['accounting', 'accounts payable']","[10, 172]"
accounts payable officer,"['accounting', 'accounts payable']","[10, 172]"
"accounts payable officer (part-time, fixed-term)","['accounting', 'accounts payable']","[10, 172]"
accounts payable queries advisor,"['accounting', 'accounts payable']","[10, 172]"
accounts payable/receivable,"['accounting', 'accounts payable']","[10, 172]"
accounts payables and receivables assistant,"['accounting', 'accounts administrators']","[10, 113]"
accounts positions,"['accounting', 'accounts payable']","[10, 172]"
accounts receivable,"['accounting', 'accounts receivable']","[10, 174]"
accounts receivable & admin asst – agriculture,"['office & administration', 'administration']","[30, 31]"
accounts receivable administrator,"['office & administration', 'administration', 'data entry']","[30, 31, 146]"
accounts receivable collections agent,"['accounting', 'accountants', 'general / ca']","[10, 11, 185]"
accounts receivable officer,"['accounting', 'accounts receivable']","[10, 174]"
accounts receivable opportunities,"['accounting', 'accounts receivable']","[10, 174]"
accounts receivable team leader,"['accounting', 'accounts receivable']","[10, 174]"
accounts receivables officer,"['accounting', 'accounts receivable']","[10, 174]"
accounts role,"['accounting', 'accounts administrators']","[10, 113]"
accounts wizard wanted,"['accounting', 'management']","[10, 39]"
accounts/ administration,"['office & administration', 'administration']","[30, 31]"
accounts/admin,"['office & administration', 'administration']","[30, 31]"
accounts/office manager - part time - 20 hours,"['accounting', 'accounts administrators']","[10, 113]"
accreditation & policy officer,"['office & administration', 'administration']","[30, 31]"
acquisitions manager/ visual merchandiser sylvia,"['retail', 'management']","[71, 39]"
acting financial controller,"['accounting', 'finance managers & controllers']","[10, 128]"
activities assistant - foxbridge care home,"['healthcare', 'caregiving']","[22, 23]"
activities assistant - whareama,"['healthcare', 'occupational therapy']","[22, 107]"
activities assistant- ballarat ( rangiora),"['healthcare', 'caregiving']","[22, 23]"
activities assistant- bupa merrivale,"['healthcare', 'caregiving']","[22, 23]"
activities assistant-bupa te puke,"['healthcare', 'caregiving']","[22, 23]"
activities coordinator - greytown,"['healthcare', 'caregiving']","[22, 23]"
activities facilitator - puna awhi-rua,"['healthcare', 'psychology & counselling']","[22, 49]"
activities facilitator - puna maatai - forensic,"['healthcare', 'psychology & counselling']","[22, 49]"
activities facilitator or occupational therapy,"['healthcare', 'psychology & counselling']","[22, 49]"
activity and lifestyle assistant - casual,"['healthcare', 'fitness & wellbeing']","[22, 85]"
activity and lifestyle coordinator,"['healthcare', 'fitness & wellbeing']","[22, 85]"
activity and lifestyle coordinator - full time,"['healthcare', 'fitness & wellbeing']","[22, 85]"
activity and lifestyle coordinator - part time,"['healthcare', 'fitness & wellbeing']","[22, 85]"
addiction registered mental health professional -,"['healthcare', 'nursing & midwifery', 'mental health']","[22, 67, 89]"
addiction specialist - mental health & addiction,"['healthcare', 'doctors & specialists']","[22, 111]"
addictions practitioner,"['healthcare', 'community & social services']","[22, 27]"
additional processor operator required,"['agriculture, fishing & forestry', 'forestry']","[34, 145]"
"adecco, we're here to help","['construction & roading', 'project & contracts management']","[8, 101]"
admin,"['customer service', 'management']","[54, 39]"
admin / accounts assistant tauranga,"['accounting', 'accounts administrators']","[10, 113]"
admin account administration,"['office & administration', 'administration']","[30, 31]"
admin accounts / customer service,"['hospitality & tourism', 'reception & front desk']","[14, 189]"
admin assistant,"['office & administration', 'administration']","[30, 31]"
admin assistant (part-time),"['office & administration', 'administration']","[30, 31]"
admin assistant - kaiwharawhara,"['office & administration', 'administration']","[30, 31]"
admin assistant - shipping industry,"['transport & logistics', 'import & export']","[28, 166]"
admin assistant 2ic,"['office & administration', 'administration']","[30, 31]"
admin officer & customer service - approach signs,"['office & administration', 'administration']","[30, 31]"
admin superstar,"['office & administration', 'administration']","[30, 31]"
admin support - bupa waireka (pahiatua),"['healthcare', 'administration']","[22, 31]"
admin team leader - radiology,"['healthcare', 'administration']","[22, 31]"
admin team member,"['office & administration', 'administration']","[30, 31]"
admin/ sales/ yard hand,"['office & administration', 'office management']","[30, 138]"
admin/accounting support - naenae boxing academy,"['office & administration', 'administration']","[30, 31]"
admin/accounts,"['office & administration', 'administration']","[30, 31]"
admin/business development,"['office & administration', 'reception']","[30, 61]"
admin/reception - fulltime permanent,"['office & administration', 'administration']","[30, 31]"
admin/reception superstar,"['office & administration', 'administration']","[30, 31]"
admin/recruiter | part-time | petone,"['office & administration', 'administration']","[30, 31]"
administration,"['trades & services', 'technicians', 'office & administration', 'administration', 'reception']","[0, 6, 30, 31, 61]"
administration & reception temp roles,"['office & administration', 'administration']","[30, 31]"
administration - emergency department,"['healthcare', 'administration']","[22, 31]"
administration / reception - part time contractor,"['office & administration', 'administration']","[30, 31]"
administration and accounts assistant,"['office & administration', 'administration', 'accounting', 'accounts administrators']","[30, 31, 10, 113]"
administration and communication assistant,"['office & administration', 'administration']","[30, 31]"
administration and office support,"['office & administration', 'administration']","[30, 31]"
administration assistant,"['office & administration', 'administration', 'healthcare', 'hr & recruitment', 'recruitment', 'accounting', 'accounts administrators']","[30, 31, 22, 76, 88, 10, 113]"
administration assistant - banking & reception,"['office & administration', 'administration']","[30, 31]"
"administration assistant - casual, regional","['healthcare', 'administration']","[22, 31]"
"administration assistant - child health (0.4fte,","['healthcare', 'administration']","[22, 31]"
administration assistant - part time - napier,"['sales', 'telesales']","[57, 158]"
administration assistant - steel warehouse,"['office & administration', 'administration']","[30, 31]"
administration assistant / pa,"['office & administration', 'administration', 'construction & roading', 'estimation']","[30, 31, 8, 122]"
"administration assistant 2ic, mt wellington","['office & administration', 'administration']","[30, 31]"
"administration assistant, icu/hdu","['healthcare', 'administration']","[22, 31]"
administration clerk,"['healthcare', 'administration']","[22, 31]"
administration co-ordinator,"['office & administration', 'administration']","[30, 31]"
administration co-ordinator - ent at royston,"['healthcare', 'administration']","[22, 31]"
administration coordinator,"['office & administration', 'administration']","[30, 31]"
administration coordinator - 32 hours per week,"['office & administration', 'administration']","[30, 31]"
administration extraordinaire needed,"['office & administration', 'administration']","[30, 31]"
administration manager,"['healthcare', 'administration', 'office & administration', 'office management']","[22, 31, 30, 138]"
administration officer,"['office & administration', 'administration', 'healthcare']","[30, 31, 22]"
administration officer (30 hours per week),"['government & council', 'central government']","[37, 38]"
administration officer - radiology,"['healthcare', 'administration']","[22, 31]"
administration officer - regional - upper hutt,"['office & administration', 'administration']","[30, 31]"
administration officer - surgical outpatient,"['healthcare', 'administration']","[22, 31]"
"administration officer, contact centre services","['office & administration', 'administration']","[30, 31]"
administration services officer (fixed-term),"['office & administration', 'administration']","[30, 31]"
administration sole charge,"['office & administration', 'administration']","[30, 31]"
administration superstar,"['office & administration', 'administration']","[30, 31]"
administration support,"['office & administration', 'administration', 'healthcare', 'property', 'consultancy & valuation']","[30, 31, 22, 93, 199]"
administration support - child development service,"['healthcare', 'administration']","[22, 31]"
administration support - clerical relief team,"['healthcare', 'administration']","[22, 31]"
administration support - clinical support services,"['healthcare', 'administration']","[22, 31]"
administration support - covid 19,"['healthcare', 'administration']","[22, 31]"
administration support officer,"['office & administration', 'administration', 'healthcare', 'manufacturing & operations', 'purchasing & inventory']","[30, 31, 22, 20, 181]"
administration support officer - apiha whakahaere,"['office & administration', 'administration']","[30, 31]"
administration support officer - building,"['office & administration', 'administration']","[30, 31]"
administration support officer - fairlie,"['government & council', 'local & regional council']","[37, 109]"
administration support officer - radiology,"['healthcare', 'administration']","[22, 31]"
administration support/scheduler,"['healthcare', 'administration']","[22, 31]"
administration support/scheduler - surgical,"['healthcare', 'administration']","[22, 31]"
administration team leader,"['office & administration', 'office management']","[30, 138]"
"administration, executive assistant","['office & administration', 'ea, pa & secretarial']","[30, 165]"
administration/ customer service role,"['office & administration', 'administration']","[30, 31]"
administrative assistant,"['office & administration', 'administration']","[30, 31]"
administrative assistant for growing it business,"['office & administration', 'administration']","[30, 31]"
administrator,"['office & administration', 'administration', 'reception', 'healthcare', 'office management']","[30, 31, 61, 22, 138]"
administrator (hwb),"['office & administration', 'administration']","[30, 31]"
administrator (maternity cover),"['office & administration', 'administration']","[30, 31]"
administrator - academic registry,"['office & administration', 'administration']","[30, 31]"
administrator - choices nz,"['healthcare', 'administration']","[22, 31]"
administrator - contracts team,"['office & administration', 'administration']","[30, 31]"
administrator - dargaville (0.5fte),"['office & administration', 'administration']","[30, 31]"
administrator - disability support link,"['healthcare', 'administration']","[22, 31]"
administrator - hamilton,"['engineering', 'energy']","[47, 193]"
administrator - holmwood,"['office & administration', 'administration']","[30, 31]"
administrator - kaitaia,"['office & administration', 'administration']","[30, 31]"
administrator - mental health & addiction service,"['healthcare', 'administration']","[22, 31]"
administrator - new plymouth,"['office & administration', 'administration']","[30, 31]"
administrator - occupational health and safety,"['office & administration', 'administration']","[30, 31]"
administrator - ophthalmology,['science & technology'],[97]
administrator - outpatients,"['healthcare', 'administration']","[22, 31]"
administrator - part time,"['office & administration', 'administration']","[30, 31]"
administrator - payroll,"['accounting', 'payroll', 'accountants', 'assistant accountants']","[10, 139, 11, 149]"
administrator - permanent part time,"['healthcare', 'administration']","[22, 31]"
administrator - short term contract,"['office & administration', 'administration']","[30, 31]"
administrator - temporary position,"['office & administration', 'administration']","[30, 31]"
administrator - the bayview,"['office & administration', 'administration']","[30, 31]"
administrator / accounts assistant,"['office & administration', 'administration']","[30, 31]"
administrator / co ordinator,"['customer service', 'customer-facing']","[54, 105]"
administrator / kaiwhakarite,"['healthcare', 'administration']","[22, 31]"
administrator / receptionist,"['healthcare', 'community & social services', 'office & administration', 'administration']","[22, 27, 30, 31]"
administrator / receptionist radiology,"['healthcare', 'administration']","[22, 31]"
administrator / receptionist richmond health hub,"['healthcare', 'administration']","[22, 31]"
administrator accounts,"['accounting', 'accounts administrators']","[10, 113]"
administrator client services,"['office & administration', 'administration']","[30, 31]"
administrator coordinator,"['healthcare', 'administration']","[22, 31]"
administrator coordinator - fct mdm,"['healthcare', 'nursing & midwifery', 'medical']","[22, 67, 96]"
administrator extraordinaire,"['office & administration', 'administration']","[30, 31]"
administrator extraordinaire - part-time role,"['office & administration', 'administration']","[30, 31]"
administrator extrodonaire,"['office & administration', 'administration']","[30, 31]"
administrator metering services (mp),"['customer service', 'call centre']","[54, 55]"
administrator position,"['office & administration', 'administration']","[30, 31]"
administrator research office,"['office & administration', 'administration']","[30, 31]"
